version,1.3.0
info,team,Kolkata Knight Riders
info,team,Mumbai Indians
info,gender,male
info,season,2020/21
info,date,2020/10/16
info,competition,Indian Premier League
info,match_number,32
info,venue,Sheikh Zayed Stadium
info,city,Abu Dhabi
info,toss_winner,Kolkata Knight Riders
info,toss_decision,bat
info,player_of_match,Q de Kock
info,umpire,CB Gaffaney
info,umpire,VK Sharma
info,reserve_umpire,PG Pathak
info,tv_umpire,S Ravi
info,match_referee,M Nayyar
info,winner,Mumbai Indians
info,winner_wickets,8
ball,1,7.3,Kolkata Knight Riders,Shubman Gill,KD Karthik,RD Chahar,0,0,caught,Shubman Gill
ball,1,7.4,Kolkata Knight Riders,KD Karthik,EJG Morgan,RD Chahar,0,0,bowled,KD Karthik
ball,1,7.5,Kolkata Knight Riders,AD Russell,EJG Morgan,RD Chahar,1,0,"",""
ball,1,7.6,Kolkata Knight Riders,EJG Morgan,AD Russell,RD Chahar,0,0,"",""
ball,1,8.1,Kolkata Knight Riders,AD Russell,EJG Morgan,KH Pandya,1,0,"",""
ball,1,8.2,Kolkata Knight Riders,EJG Morgan,AD Russell,KH Pandya,0,0,"",""
ball,1,8.3,Kolkata Knight Riders,EJG Morgan,AD Russell,KH Pandya,1,0,"",""
ball,1,8.4,Kolkata Knight Riders,AD Russell,EJG Morgan,KH Pandya,0,0,"",""
ball,1,8.5,Kolkata Knight Riders,AD Russell,EJG Morgan,KH Pandya,6,0,"",""
ball,1,8.6,Kolkata Knight Riders,AD Russell,EJG Morgan,KH Pandya,0,0,"",""
ball,1,9.1,Kolkata Knight Riders,EJG Morgan,AD Russell,RD Chahar,2,0,"",""
ball,1,9.2,Kolkata Knight Riders,EJG Morgan,AD Russell,RD Chahar,0,0,"",""
ball,1,9.3,Kolkata Knight Riders,EJG Morgan,AD Russell,RD Chahar,0,0,"",""
ball,1,9.4,Kolkata Knight Riders,EJG Morgan,AD Russell,RD Chahar,0,0,"",""
ball,1,9.5,Kolkata Knight Riders,EJG Morgan,AD Russell,RD Chahar,4,0,"",""
ball,1,9.6,Kolkata Knight Riders,EJG Morgan,AD Russell,RD Chahar,0,0,"",""
ball,1,10.1,Kolkata Knight Riders,AD Russell,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,10.2,Kolkata Knight Riders,AD Russell,EJG Morgan,JJ Bumrah,4,0,"",""
ball,1,10.3,Kolkata Knight Riders,AD Russell,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,10.4,Kolkata Knight Riders,AD Russell,EJG Morgan,JJ Bumrah,0,0,caught,AD Russell
ball,1,10.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,10.6,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,0,1,"",""
ball,1,10.7,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,1,0,"",""
ball,1,11.1,Kolkata Knight Riders,PJ Cummins,EJG Morgan,RD Chahar,0,0,"",""
ball,1,11.2,Kolkata Knight Riders,PJ Cummins,EJG Morgan,RD Chahar,1,0,"",""
ball,1,11.3,Kolkata Knight Riders,EJG Morgan,PJ Cummins,RD Chahar,0,0,"",""
ball,1,11.4,Kolkata Knight Riders,EJG Morgan,PJ Cummins,RD Chahar,1,0,"",""
ball,1,11.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,RD Chahar,1,0,"",""
ball,1,11.6,Kolkata Knight Riders,EJG Morgan,PJ Cummins,RD Chahar,0,0,"",""
ball,1,12.1,Kolkata Knight Riders,PJ Cummins,EJG Morgan,NM Coulter-Nile,4,0,"",""
ball,1,12.2,Kolkata Knight Riders,PJ Cummins,EJG Morgan,NM Coulter-Nile,1,0,"",""
ball,1,12.3,Kolkata Knight Riders,EJG Morgan,PJ Cummins,NM Coulter-Nile,1,0,"",""
ball,1,12.4,Kolkata Knight Riders,PJ Cummins,EJG Morgan,NM Coulter-Nile,0,0,"",""
ball,1,12.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,NM Coulter-Nile,6,0,"",""
ball,1,12.6,Kolkata Knight Riders,PJ Cummins,EJG Morgan,NM Coulter-Nile,4,0,"",""
ball,1,13.1,Kolkata Knight Riders,EJG Morgan,PJ Cummins,RD Chahar,1,0,"",""
ball,1,13.2,Kolkata Knight Riders,PJ Cummins,EJG Morgan,RD Chahar,2,0,"",""
ball,1,13.3,Kolkata Knight Riders,PJ Cummins,EJG Morgan,RD Chahar,1,0,"",""
ball,1,13.4,Kolkata Knight Riders,EJG Morgan,PJ Cummins,RD Chahar,0,1,"",""
ball,1,13.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,RD Chahar,2,0,"",""
ball,1,13.6,Kolkata Knight Riders,PJ Cummins,EJG Morgan,RD Chahar,0,0,"",""
ball,1,14.1,Kolkata Knight Riders,EJG Morgan,PJ Cummins,KH Pandya,1,0,"",""
ball,1,14.2,Kolkata Knight Riders,PJ Cummins,EJG Morgan,KH Pandya,0,0,"",""
ball,1,14.3,Kolkata Knight Riders,PJ Cummins,EJG Morgan,KH Pandya,2,0,"",""
ball,1,14.4,Kolkata Knight Riders,PJ Cummins,EJG Morgan,KH Pandya,2,0,"",""
ball,1,14.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,KH Pandya,1,0,"",""
ball,1,14.6,Kolkata Knight Riders,EJG Morgan,PJ Cummins,KH Pandya,0,0,"",""
ball,1,15.1,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,15.2,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,1,0,"",""
ball,1,15.3,Kolkata Knight Riders,EJG Morgan,PJ Cummins,JJ Bumrah,1,0,"",""
ball,1,15.4,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,2,0,"",""
ball,1,15.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,15.6,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,16.1,Kolkata Knight Riders,EJG Morgan,PJ Cummins,TA Boult,4,0,"",""
ball,1,16.2,Kolkata Knight Riders,EJG Morgan,PJ Cummins,TA Boult,1,0,"",""
ball,1,16.3,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,0,0,"",""
ball,1,16.4,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,4,0,"",""
ball,1,16.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,0,0,"",""
ball,1,16.6,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,0,0,"",""
ball,1,17.1,Kolkata Knight Riders,EJG Morgan,PJ Cummins,JJ Bumrah,2,0,"",""
ball,1,17.2,Kolkata Knight Riders,EJG Morgan,PJ Cummins,JJ Bumrah,1,0,"",""
ball,1,17.3,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,1,0,"",""
ball,1,17.4,Kolkata Knight Riders,EJG Morgan,PJ Cummins,JJ Bumrah,1,0,"",""
ball,1,17.5,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,17.6,Kolkata Knight Riders,PJ Cummins,EJG Morgan,JJ Bumrah,0,0,"",""
ball,1,18.1,Kolkata Knight Riders,EJG Morgan,PJ Cummins,TA Boult,1,0,"",""
ball,1,18.2,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,6,0,"",""
ball,1,18.3,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,4,0,"",""
ball,1,18.4,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,1,0,"",""
ball,1,18.5,Kolkata Knight Riders,EJG Morgan,PJ Cummins,TA Boult,1,0,"",""
ball,1,18.6,Kolkata Knight Riders,PJ Cummins,EJG Morgan,TA Boult,1,0,"",""
ball,1,19.1,Kolkata Knight Riders,PJ Cummins,EJG Morgan,NM Coulter-Nile,4,0,"",""
ball,1,19.2,Kolkata Knight Riders,PJ Cummins,EJG Morgan,NM Coulter-Nile,1,0,"",""
ball,1,19.3,Kolkata Knight Riders,EJG Morgan,PJ Cummins,NM Coulter-Nile,6,0,"",""
ball,1,19.4,Kolkata Knight Riders,EJG Morgan,PJ Cummins,NM Coulter-Nile,2,0,"",""
ball,1,19.5,Kolkata Knight Riders,EJG Morgan,PJ Cummins,NM Coulter-Nile,2,0,"",""
ball,1,19.6,Kolkata Knight Riders,EJG Morgan,PJ Cummins,NM Coulter-Nile,6,0,"",""
ball,2,0.1,Mumbai Indians,RG Sharma,Q de Kock,CJ Green,4,0,"",""
ball,2,0.2,Mumbai Indians,RG Sharma,Q de Kock,CJ Green,0,0,"",""
ball,2,0.3,Mumbai Indians,RG Sharma,Q de Kock,CJ Green,1,0,"",""
ball,2,0.4,Mumbai Indians,Q de Kock,RG Sharma,CJ Green,0,0,"",""
ball,2,0.5,Mumbai Indians,Q de Kock,RG Sharma,CJ Green,0,0,"",""
ball,2,0.6,Mumbai Indians,Q de Kock,RG Sharma,CJ Green,2,0,"",""
ball,2,1.1,Mumbai Indians,RG Sharma,Q de Kock,PJ Cummins,0,4,"",""
ball,2,1.2,Mumbai Indians,RG Sharma,Q de Kock,PJ Cummins,0,0,"",""
ball,2,1.3,Mumbai Indians,RG Sharma,Q de Kock,PJ Cummins,4,0,"",""
ball,2,1.4,Mumbai Indians,RG Sharma,Q de Kock,PJ Cummins,0,0,"",""
ball,2,1.5,Mumbai Indians,RG Sharma,Q de Kock,PJ Cummins,0,1,"",""
ball,2,1.6,Mumbai Indians,Q de Kock,RG Sharma,PJ Cummins,0,0,"",""
ball,2,2.1,Mumbai Indians,RG Sharma,Q de Kock,M Prasidh Krishna,0,0,"",""
